query time,processing time,input event instants,input state intervals,input dynamic phe. intervals,user event instances,user event instants,user state instances,user state intervals,user dynamic phe. instances,user dynamic phe. intervals
1443657601,63,6741,0,0,107,6592,198,369,0,0
1443664801,54,12197,0,0,140,11970,256,674,1,1
1443672001,72,13288,0,0,145,13117,306,803,2,3
1443679201,85,16266,0,0,165,16004,392,929,5,7
1443686401,102,20485,0,0,192,20058,463,1250,20,26
1443693601,136,25866,0,0,185,25415,509,1496,20,24
1443700801,156,24938,0,0,157,24611,502,1330,10,10
1443708001,116,19175,0,0,145,18955,494,1050,8,8
1443715201,101,16150,0,0,136,15928,520,1036,20,25
1443722401,88,12839,0,0,125,12620,527,938,21,26
1443729601,74,9524,0,0,103,9359,520,756,1,1
1443736801,76,9762,0,0,87,9605,512,831,2,2
1443744001,74,10584,0,0,86,10430,521,867,5,5
1443751201,78,10877,0,0,97,10737,551,891,7,7
1443758401,78,12456,0,0,126,12275,590,967,4,5
1443765601,111,17682,0,0,128,17467,607,1062,23,31
1443772801,134,24211,0,0,131,23968,641,1314,33,60
1443780001,141,24219,0,0,130,23971,667,1435,34,44
1443787201,121,19850,0,0,125,19626,665,1390,19,24
1443794401,112,18131,0,0,130,17879,684,1372,10,13
1443801601,133,18587,0,0,132,18246,720,1480,21,29
1443808801,133,17712,0,0,133,17343,743,1557,18,26
1443816001,102,14575,0,0,112,14326,730,1382,7,7
1443823201,94,11889,0,0,108,11678,721,1393,0,0
1443830401,88,10836,0,0,119,10625,752,1542,0,0
1443837601,90,12971,0,0,119,12749,767,1568,1,3
1443844801,101,15106,0,0,122,14853,793,1650,4,8
1443852001,124,18191,0,0,137,17965,829,1923,7,14
1443859201,120,18525,0,0,147,18285,867,2084,11,13
1443866401,114,15587,0,0,173,15327,933,1875,19,23
1443873601,111,16073,0,0,185,15838,949,1514,11,13
1443880801,114,18519,0,0,156,18281,969,1448,15,15
1443888001,114,19109,0,0,158,18831,992,1708,12,12
1443895201,115,17017,0,0,170,16716,1027,1720,9,10
1443902401,108,14337,0,0,159,14074,1044,1707,1,4
1443909601,99,11575,0,0,129,11348,1037,1888,3,10
1443916801,114,9822,0,0,92,9654,1015,1877,2,9
1443924001,107,9033,0,0,74,8934,1011,1742,2,4
1443931201,104,9010,0,0,81,8907,1023,1733,4,10
1443938401,108,10901,0,0,84,10750,1031,1884,6,19
1443945601,114,15138,0,0,90,14932,1048,2060,7,16
1443952801,123,16125,0,0,87,15938,1060,2056,11,13
1443960001,108,12932,0,0,83,12786,1052,1794,8,10
1443967201,113,12857,0,0,83,12700,1052,1921,6,27
1443974401,124,13765,0,0,81,13597,1069,2151,6,61
1443981601,129,13448,0,0,78,13269,1077,2177,7,73
1443988801,124,13443,0,0,84,13240,1095,2156,10,51
1443996001,104,12127,0,0,71,11949,1079,1965,7,24
1444003201,101,10395,0,0,63,10248,1069,1818,2,11
1444010401,99,10092,0,0,71,9930,1084,1734,2,7
1444017601,112,11015,0,0,72,10861,1087,1898,3,17
1444024801,162,13256,0,0,83,13051,1108,2179,16,40
1444032001,203,18852,0,0,113,18540,1162,2326,25,56
1444039201,150,21577,0,0,123,21291,1178,2346,23,47
1444046401,131,16407,0,0,114,16234,1146,2037,14,27
1444053601,123,14438,0,0,107,14271,1147,1714,18,20
1444060801,129,17438,0,0,114,17200,1171,1847,25,36
1444068001,130,17260,0,0,98,17024,1153,2006,22,36
1444075201,121,14393,0,0,76,14191,1135,1884,5,13
1444082401,111,12752,0,0,72,12523,1125,1891,2,4
1444089601,115,13358,0,0,70,13118,1133,1949,5,7
1444096801,129,16529,0,0,92,16325,1167,1983,3,7
1444104001,140,21706,0,0,92,21499,1183,2078,4,20
1444111201,157,22534,0,0,88,22296,1189,2331,23,38
1444118401,152,21995,0,0,97,21726,1212,2451,21,33
1444125601,151,20121,0,0,110,19899,1219,2472,23,32
1444132801,133,15183,0,0,107,15060,1217,2189,18,22
1444140001,124,13362,0,0,87,13286,1200,1817,11,11
1444147201,140,18161,0,0,100,17995,1229,1872,17,23
1444154401,151,21689,0,0,101,21456,1241,2198,22,34
1444161601,160,18045,0,0,84,17860,1214,2426,7,15
1444168801,155,16994,0,0,77,16828,1212,2492,3,10
1444176001,146,17364,0,0,74,17209,1208,2344,4,14
1444183201,142,15023,0,0,83,14892,1220,2200,8,10
1444190401,178,15328,0,0,101,15163,1243,2236,11,19
1444197601,154,19868,0,0,116,19622,1264,2473,13,24
1444204801,175,25435,0,0,141,25132,1303,2529,27,47
1444212001,215,33714,0,0,145,33356,1323,2588,30,47
1444219201,210,34455,0,0,141,34123,1321,2459,35,39
1444226401,189,28049,0,0,140,27824,1326,2167,26,30
1444233601,173,27012,0,0,146,26742,1348,2083,31,37
1444240801,174,25168,0,0,134,24874,1356,2009,24,30
1444248001,158,23129,0,0,127,22904,1340,2288,12,23
1444255201,151,22064,0,0,125,21851,1333,2455,11,16
1444262401,138,18382,0,0,112,18208,1325,2144,19,20
1444269601,140,17611,0,0,112,17440,1345,2147,18,19
1444276801,135,20006,0,0,123,19813,1366,2522,4,10
1444284001,149,22325,0,0,131,22082,1384,2667,22,31
1444291201,162,23674,0,0,163,23373,1422,2956,24,37
