query time,processing time,input event instants,input state intervals,input dynamic phe. intervals,user event instances,user event instants,user state instances,user state intervals,user dynamic phe. instances,user dynamic phe. intervals
1444435201,259,20501,0,0,144,20266,1582,2290,10,10
1444442401,263,18609,0,0,157,18406,1599,2288,7,7
1444449601,226,17058,0,0,144,16901,1591,2391,0,0
1444456801,226,17150,0,0,136,16999,1609,2321,4,5
1444464001,254,18288,0,0,163,18107,1648,2327,8,11
1444471201,312,18626,0,0,159,18445,1652,2463,18,21
1444478401,292,22020,0,0,171,21801,1674,2504,25,33
1444485601,294,25449,0,0,188,25174,1719,2675,28,39
1444492801,326,28506,0,0,179,28193,1731,2867,26,43
1444500001,317,28871,0,0,172,28533,1742,2805,29,44
1444507201,293,27458,0,0,172,27130,1743,2703,29,43
1444514401,286,25781,0,0,161,25504,1737,2802,18,23
1444521601,281,23130,0,0,130,22921,1713,2693,15,30
1444528801,280,22611,0,0,141,22417,1736,2731,16,29
1444536001,273,21239,0,0,133,21062,1730,2794,11,24
1444543201,272,20835,0,0,126,20667,1737,2615,13,26
1444550401,263,21299,0,0,139,21090,1758,2639,11,17
1444557601,270,22014,0,0,124,21820,1768,2682,10,16
1444564801,275,22207,0,0,135,21987,1799,2593,19,20
1444572001,276,22260,0,0,144,22004,1813,2581,21,26
1444579201,277,23047,0,0,145,22784,1812,2502,12,19
1444586401,277,21761,0,0,149,21503,1824,2403,9,13
1444593601,278,20463,0,0,147,20228,1834,2441,19,21
1444600801,278,19479,0,0,144,19270,1838,2506,25,31
1444608001,283,17412,0,0,128,17224,1829,2545,36,70
1444615201,283,18939,0,0,154,18677,1871,2632,33,67
1444622401,301,22414,0,0,164,22089,1892,2787,44,65
1444629601,350,26226,0,0,218,25807,1966,2896,68,92
1444636801,402,34423,0,0,276,33844,2035,3403,49,60
1444644001,452,42923,0,0,280,42244,2052,4109,58,93
1444651201,475,47405,0,0,276,46731,2048,4220,53,95
1444658401,500,51570,0,0,244,50958,2045,4437,58,99
1444665601,475,50043,0,0,217,49503,2029,4162,50,88
1444672801,446,44443,0,0,203,44035,2023,3535,49,71
