query time,processing time,input event instants,input state intervals,input dynamic phe. intervals,user event instances,user event instants,user state instances,user state intervals,user dynamic phe. instances,user dynamic phe. intervals
1443657601,65,6740,0,0,106,6591,197,368,0,0
1443664801,31,5457,0,0,97,5379,214,446,1,1
1443672001,36,7831,0,0,103,7738,278,541,1,2
1443679201,59,8435,0,0,128,8266,346,616,5,5
1443686401,69,12050,0,0,144,11792,426,919,17,20
1443693601,78,13816,0,0,120,13623,446,917,7,7
1443700801,81,11122,0,0,111,10988,449,790,5,5
1443708001,56,8053,0,0,99,7967,452,656,5,5
1443715201,64,8097,0,0,100,7961,482,784,19,24
1443722401,52,4742,0,0,74,4659,480,580,12,12
1443729601,44,4782,0,0,69,4700,493,626,0,0
1443736801,43,4980,0,0,67,4905,490,664,2,2
1443744001,44,5604,0,0,69,5525,507,668,5,5
1443751201,49,5273,0,0,77,5212,527,702,9,9
1443758401,53,7183,0,0,102,7063,568,763,3,4
1443765601,84,10499,0,0,81,10404,565,815,21,30
1443772801,96,13712,0,0,110,13564,624,1013,32,43
1443780001,85,10507,0,0,93,10407,611,961,20,28
1443787201,76,9343,0,0,91,9219,629,992,12,13
1443794401,71,8788,0,0,97,8660,647,960,6,7
1443801601,85,9799,0,0,103,9586,692,1125,20,26
1443808801,72,7913,0,0,88,7757,694,1057,9,9
1443816001,65,6662,0,0,76,6569,687,970,7,7
1443823201,61,5227,0,0,83,5109,704,1092,0,0
1443830401,57,5609,0,0,86,5516,732,1131,0,0
1443837601,67,7362,0,0,89,7233,744,1143,1,3
1443844801,68,7744,0,0,91,7620,772,1229,3,6
1443852001,93,10447,0,0,107,10345,810,1440,7,10
1443859201,85,8078,0,0,105,7940,841,1414,8,8
1443866401,78,7509,0,0,137,7387,884,1241,16,18
1443873601,80,8564,0,0,113,8451,902,1098,5,5
1443880801,90,9955,0,0,121,9830,933,1199,15,15
1443888001,86,9154,0,0,114,9001,954,1387,11,11
1443895201,81,7863,0,0,115,7715,986,1235,8,8
1443902401,79,6474,0,0,108,6359,1007,1412,1,3
1443909601,83,5101,0,0,78,4989,1007,1448,2,7
1443916801,77,4721,0,0,61,4665,998,1416,2,3
1443924001,81,4312,0,0,63,4269,1004,1313,1,1
1443931201,79,4698,0,0,65,4638,1012,1411,4,9
1443938401,80,6203,0,0,68,6112,1021,1466,5,11
1443945601,88,8935,0,0,76,8820,1034,1589,6,8
1443952801,84,7190,0,0,63,7118,1025,1461,11,11
