query time,processing time,input event instants,input state intervals,input dynamic phe. intervals,user event instances,user event instants,user state instances,user state intervals,user dynamic phe. instances,user dynamic phe. intervals
1443657601,64,6740,0,0,106,6591,197,368,0,0
1443664801,45,5457,0,0,97,5379,214,446,1,1
1443672001,66,7831,0,0,103,7738,278,541,1,2
1443679201,75,8435,0,0,128,8266,346,616,5,5
1443686401,94,12050,0,0,144,11792,426,919,17,20
1443693601,114,13816,0,0,120,13623,446,917,7,7
1443700801,104,11122,0,0,111,10988,449,790,5,5
1443708001,84,8053,0,0,99,7967,452,656,5,5
1443715201,104,8097,0,0,100,7961,482,784,19,24
1443722401,80,4742,0,0,74,4659,480,580,12,12
1443729601,78,4782,0,0,69,4700,493,626,0,0
1443736801,82,4980,0,0,67,4905,490,664,2,2
1443744001,70,5604,0,0,69,5525,507,668,5,5
1443751201,78,5273,0,0,77,5212,527,702,9,9
1443758401,78,7183,0,0,102,7063,568,763,3,4
1443765601,105,10499,0,0,81,10404,565,815,21,30
1443772801,134,13712,0,0,110,13564,624,1013,32,43
1443780001,125,10507,0,0,93,10407,611,961,20,28
1443787201,97,9343,0,0,91,9219,629,992,12,13
1443794401,91,8788,0,0,97,8660,647,960,6,7
1443801601,122,9799,0,0,103,9586,692,1125,20,26
1443808801,98,7913,0,0,88,7757,694,1057,9,9
1443816001,86,6662,0,0,76,6569,687,970,7,7
1443823201,87,5227,0,0,83,5109,704,1092,0,0
1443830401,82,5609,0,0,86,5516,732,1131,0,0
1443837601,89,7362,0,0,89,7233,744,1143,1,3
1443844801,94,7744,0,0,91,7620,772,1229,3,6
1443852001,129,10447,0,0,107,10345,810,1440,7,10
1443859201,107,8078,0,0,105,7940,841,1414,8,8
1443866401,108,7509,0,0,137,7387,884,1241,16,18
1443873601,109,8564,0,0,113,8451,902,1098,5,5
1443880801,123,9955,0,0,121,9830,933,1199,15,15
1443888001,119,9154,0,0,114,9001,954,1387,11,11
1443895201,103,7863,0,0,115,7715,986,1235,8,8
1443902401,97,6474,0,0,108,6359,1007,1412,1,3
1443909601,100,5101,0,0,78,4989,1007,1448,2,7
1443916801,97,4721,0,0,61,4665,998,1416,2,3
1443924001,109,4312,0,0,63,4269,1004,1313,1,1
1443931201,104,4698,0,0,65,4638,1012,1411,4,9
1443938401,99,6203,0,0,68,6112,1021,1466,5,11
1443945601,133,8935,0,0,76,8820,1034,1589,6,8
1443952801,112,7190,0,0,63,7118,1025,1461,11,11
1443960001,100,5742,0,0,68,5668,1030,1331,6,8
1443967201,112,7115,0,0,69,7032,1042,1601,3,22
1443974401,111,6650,0,0,63,6565,1053,1567,6,40
1443981601,120,6798,0,0,64,6704,1064,1638,5,36
1443988801,112,6645,0,0,66,6536,1074,1557,7,17
1443996001,106,5482,0,0,53,5413,1057,1457,6,12
1444003201,109,4913,0,0,54,4835,1065,1411,1,3
1444010401,109,5179,0,0,62,5095,1076,1384,2,4
1444017601,107,5836,0,0,56,5766,1073,1575,3,14
1444024801,121,7420,0,0,76,7285,1096,1661,14,26
1444032001,147,11432,0,0,97,11255,1139,1729,18,32
1444039201,143,10145,0,0,95,10036,1120,1683,17,26
1444046401,117,6262,0,0,82,6198,1105,1422,10,12
1444053601,128,8176,0,0,91,8073,1130,1368,11,11
1444060801,150,9262,0,0,89,9127,1138,1564,20,27
1444068001,163,7998,0,0,64,7897,1122,1538,13,22
1444075201,130,6395,0,0,62,6294,1115,1446,1,1
1444082401,148,6357,0,0,61,6229,1115,1548,1,3
1444089601,144,7001,0,0,57,6889,1128,1508,4,4
1444096801,171,9528,0,0,84,9436,1159,1592,2,6
1444104001,187,12178,0,0,64,12063,1150,1659,4,16
1444111201,180,10356,0,0,77,10233,1176,1800,18,20
1444118401,161,11639,0,0,88,11493,1193,1792,16,23
1444125601,156,8482,0,0,93,8406,1195,1829,15,17
1444132801,148,6701,0,0,76,6654,1188,1515,11,13
1444140001,139,6661,0,0,72,6632,1185,1468,4,4
1444147201,184,11500,0,0,88,11363,1214,1563,16,20
1444154401,207,10189,0,0,72,10093,1197,1795,16,23
1444161601,202,7856,0,0,67,7767,1196,1872,3,5
1444168801,172,9138,0,0,66,9061,1200,1798,1,7
1444176001,153,8226,0,0,64,8148,1197,1731,4,7
1444183201,144,6797,0,0,75,6744,1212,1657,4,4
1444190401,157,8531,0,0,86,8419,1221,1782,11,19
1444197601,163,11337,0,0,89,11203,1236,1879,9,11
1444204801,176,14098,0,0,120,13929,1273,1833,26,42
1444212001,233,19616,0,0,113,19427,1262,1939,10,13
1444219201,200,14839,0,0,107,14696,1280,1708,33,34
1444226401,179,13210,0,0,114,13128,1285,1679,19,21
1444233601,178,13802,0,0,110,13614,1314,1635,28,29
1444240801,164,11366,0,0,92,11260,1288,1609,14,19
1444248001,162,11763,0,0,103,11644,1306,1921,9,15
1444255201,165,10301,0,0,95,10207,1297,1793,4,4
1444262401,141,8081,0,0,77,8001,1298,1612,17,17
1444269601,171,9530,0,0,104,9439,1333,1804,17,18
1444276801,160,10476,0,0,91,10374,1317,1990,4,8
1444284001,172,11849,0,0,105,11708,1357,1958,22,25
1444291201,181,11825,0,0,127,11665,1388,2293,20,28
1444298401,189,12686,0,0,132,12555,1390,2046,26,27
1444305601,181,11976,0,0,115,11846,1390,1899,19,24
1444312801,181,13355,0,0,118,13244,1406,1967,16,29
1444320001,192,14715,0,0,133,14517,1428,1934,28,35
1444327201,178,9836,0,0,97,9711,1409,1671,13,21
1444334401,157,7685,0,0,102,7598,1421,1708,14,14
1444341601,152,7123,0,0,95,7053,1411,1775,3,4
1444348801,166,6966,0,0,103,6887,1429,2009,33,38
1444356001,183,7895,0,0,109,7803,1456,2024,33,40
1444363201,167,6992,0,0,86,6912,1436,1932,16,19
1444370401,181,8109,0,0,88,8023,1455,1781,11,13
1444377601,193,9253,0,0,88,9173,1468,1857,26,29
1444384801,205,10109,0,0,94,10013,1478,1824,29,32
1444392001,187,9516,0,0,84,9450,1463,1766,12,17
1444399201,189,8990,0,0,101,8920,1496,1798,26,33
1444406401,204,10471,0,0,85,10318,1505,1831,48,57
1444413601,172,6878,0,0,69,6798,1484,1603,12,12
1444420801,168,6035,0,0,77,5965,1505,1669,10,10
1444428001,162,3871,0,0,80,3821,1513,1709,0,0
1444435201,166,3717,0,0,65,3682,1522,1741,2,2
1444442401,171,4986,0,0,81,4938,1547,1651,5,5
